blind_spot,risk_area,pfas_lab_example,iso_17025_relevance,severity,evidence_required,status,corrective_action
Traceability gaps,Chain of custody,Missing sample movement record,Sample/result traceability,HIGH,"COC log; sample receipt; analyst record",Open,Add mandatory sample event log
Instrument data integrity,Raw data control,LC-MS/MS raw files edited or overwritten,Data integrity and technical records,CRITICAL,"Raw file hash; audit trail; backup log",Open,Add immutable raw data archive
Method validation drift,Change control,EPA 533 workflow changed without revalidation,Method validation and verification,HIGH,"Validation summary; change record",Open,Require revalidation trigger
Competency documentation,Personnel,Analyst runs PFAS batch without training record,Personnel competence,MEDIUM,"Training matrix; authorization record",Open,Add analyst authorization table
CAPA weakness,Corrective action,Blank contamination repeated but CAPA closed superficially,Nonconforming work and corrective action,HIGH,"RCA; CAPA record; effectiveness check",Open,Add CAPA effectiveness review
Reference standard control,Calibration traceability,Expired PFAS standard used in calibration,Metrological traceability,CRITICAL,"COA; lot; expiry; prep log",Open,Add standard inventory and expiry flag
Spreadsheet risk,Data handling,Manual Excel edits before report generation,Data control and technical records,HIGH,"Version history; formula lock; review record",Open,Replace manual edits with controlled import
Scaling failure,Operational capacity,500 samples/week overwhelms review process,Resource and process control,MEDIUM,"Workload log; turnaround metrics",Open,Add batch queue and review dashboard
Vendor service dependence,Equipment continuity,LC-MS/MS downtime with no contingency,Equipment control,MEDIUM,"Service contract; backup plan",Open,Add downtime contingency SOP
Audit defensibility,Reconstruction,Cannot reproduce result after 6 months,Technical record retention,CRITICAL,"Run ID; model/version/hash/report",Open,Add run-level provenance package
